Year,Month,Sales Date,Sales Person,Customer,Segment,Sales,Order Number,,366048
2024,2,2/17/24,John Doe,Amazon,Software,14742,1047,,
2024,2,2/18/24,Samantha Ray,Facebook,Hardware,5937,1048,,
2024,2,2/19/24,John Doe,Microsoft,Software,5178,1049,,
2024,2,2/20/24,Michael Brown,Apple,R&D,7959,1050,,
2024,2,2/21/24,Samantha Ray,Apple,Hardware,13779,1051,,
2024,2,2/22/24,Michael Brown,Facebook,R&D,5979,1052,,
2024,2,2/23/24,John Doe,Google,Software,18323,1053,,
2024,2,2/24/24,Michael Brown,Facebook,R&D,14037,1054,,
2024,2,2/25/24,Michael Brown,Facebook,R&D,17812,1055,,
2024,2,2/26/24,Alex Johnson,Amazon,Software,15671,1056,,
2024,2,2/27/24,Jane Smith,Apple,Software,11147,1057,,
2024,2,2/28/24,Michael Brown,Microsoft,R&D,13396,1058,,
2024,2,2/29/24,Michael Brown,Facebook,R&D,19854,1059,,
2024,3,3/1/24,Samantha Ray,Microsoft,R&D,18543,1060,,
2024,3,3/2/24,Samantha Ray,Facebook,Hardware,9867,1061,,
2024,3,3/3/24,Samantha Ray,Amazon,Software,7231,1062,,
2024,3,3/4/24,Jane Smith,Apple,R&D,13146,1063,,
2024,3,3/5/24,Jane Smith,Apple,Hardware,9043,1064,,
2024,3,3/6/24,Michael Brown,Apple,R&D,17921,1065,,
2024,3,3/7/24,Michael Brown,Facebook,R&D,9109,1066,,
2024,3,3/8/24,Jane Smith,Facebook,R&D,11161,1067,,
2024,3,3/9/24,Alex Johnson,Apple,Hardware,11670,1068,,
2024,3,3/10/24,Jane Smith,Apple,Software,16897,1069,,
2024,3,3/11/24,John Doe,Google,R&D,17782,1070,,
2024,3,3/12/24,Michael Brown,Facebook,R&D,9011,1071,,
2024,3,3/13/24,Alex Johnson,Google,Software,5247,1072,,
2024,3,3/14/24,Michael Brown,Facebook,Hardware,7277,1073,,
2024,3,3/15/24,Samantha Ray,Apple,Software,8899,1074,,
2024,3,3/16/24,Alex Johnson,Google,Software,13785,1075,,
2024,3,3/17/24,Jane Smith,Google,R&D,16518,1076,,
2024,3,3/18/24,Alex Johnson,Amazon,Hardware,9214,1077,,
2024,3,3/19/24,Alex Johnson,Amazon,R&D,17123,1078,,
2024,3,3/20/24,Samantha Ray,Microsoft,Hardware,18027,1079,,
2024,3,3/21/24,Alex Johnson,Microsoft,R&D,18624,1080,,
2024,3,3/22/24,Alex Johnson,Microsoft,R&D,5728,1081,,
2024,3,3/23/24,Jane Smith,Microsoft,Hardware,14840,1082,,
2024,3,3/24/24,Jane Smith,Facebook,R&D,12243,1083,,
2024,3,3/25/24,Alex Johnson,Google,R&D,19707,1084,,
2024,3,3/26/24,Alex Johnson,Apple,Software,15761,1085,,
2024,3,3/27/24,Samantha Ray,Microsoft,R&D,14009,1086,,
2024,3,3/28/24,Jane Smith,Google,R&D,19066,1087,,
2024,3,3/29/24,Michael Brown,Google,Software,17576,1088,,
2024,3,3/30/24,Alex Johnson,Amazon,Software,14037,1089,,
2024,3,3/31/24,Samantha Ray,Microsoft,R&D,10881,1090,,
2024,4,4/1/24,Jane Smith,Google,Hardware,14054,1091,,
2024,4,4/2/24,John Doe,Amazon,Hardware,19372,1092,,
2024,4,4/3/24,Jane Smith,Google,R&D,10441,1093,,
2024,4,4/4/24,John Doe,Google,Software,11727,1094,,
2024,4,4/5/24,Samantha Ray,Google,R&D,8507,1095,,
2024,4,4/6/24,John Doe,Apple,Software,7723,1096,,
2024,4,4/7/24,Samantha Ray,Google,Hardware,19467,1097,,
2024,4,4/8/24,Michael Brown,Google,R&D,8975,1098,,
2024,4,4/9/24,Samantha Ray,Facebook,R&D,19587,1099,,
2024,4,4/10/24,Michael Brown,Apple,R&D,19699,1100,,
2024,4,4/11/24,John Doe,Facebook,Software,18709,1101,,
2024,4,4/12/24,Alex Johnson,Microsoft,Software,10825,1102,,
2024,4,4/13/24,John Doe,Apple,R&D,6551,1103,,
2024,4,4/14/24,Michael Brown,Facebook,Hardware,18845,1104,,
2024,4,4/15/24,Samantha Ray,Apple,Hardware,13309,1105,,
2024,4,4/16/24,Samantha Ray,Microsoft,Hardware,8356,1106,,
2024,4,4/17/24,John Doe,Microsoft,Hardware,16203,1107,,
2024,4,4/18/24,Michael Brown,Google,Software,12671,1108,,
2024,4,4/19/24,Alex Johnson,Facebook,R&D,14504,1109,,
2024,4,4/20/24,Alex Johnson,Google,Software,13308,1110,,
2024,4,4/21/24,Samantha Ray,Apple,Software,6861,1111,,
2024,4,4/22/24,Jane Smith,Microsoft,R&D,17353,1112,,
2024,4,4/23/24,Alex Johnson,Amazon,R&D,8990,1113,,
2024,4,4/24/24,Michael Brown,Amazon,Software,5647,1114,,
2024,4,4/25/24,John Doe,Amazon,Software,6677,1115,,
2024,4,4/26/24,John Doe,Amazon,Software,12857,1116,,
2024,4,4/27/24,John Doe,Microsoft,Software,13062,1117,,
2024,4,4/28/24,Michael Brown,Apple,Software,7012,1118,,
2024,4,4/29/24,Jane Smith,Facebook,Software,9603,1119,,
2024,4,4/30/24,Michael Brown,Microsoft,Hardware,10483,1120,,
2024,5,5/1/24,Jane Smith,Microsoft,Software,8893,1121,,
2024,5,5/2/24,Samantha Ray,Google,Software,8496,1122,,
2024,5,5/3/24,Samantha Ray,Facebook,Software,11438,1123,,
2024,5,5/4/24,Jane Smith,Google,R&D,16000,1124,,
2024,5,5/5/24,John Doe,Amazon,R&D,12458,1125,,
2024,5,5/6/24,Michael Brown,Google,Software,7423,1126,,
2024,5,5/7/24,Samantha Ray,Amazon,Hardware,9728,1127,,
2024,5,5/8/24,Michael Brown,Google,Hardware,11829,1128,,
2024,5,5/9/24,Michael Brown,Apple,Hardware,19166,1129,,
2024,5,5/10/24,John Doe,Google,Hardware,11446,1130,,
2024,5,5/11/24,John Doe,Google,R&D,6985,1131,,
2024,5,5/12/24,Samantha Ray,Google,Hardware,14504,1132,,
2024,5,5/13/24,Samantha Ray,Facebook,R&D,10614,1133,,
2024,5,5/14/24,Michael Brown,Facebook,Software,5473,1134,,
2024,5,5/15/24,Jane Smith,Amazon,R&D,12170,1135,,
2024,5,5/16/24,Jane Smith,Facebook,Hardware,7418,1136,,
2024,5,5/17/24,Samantha Ray,Facebook,Hardware,15216,1137,,
2024,5,5/18/24,Jane Smith,Amazon,R&D,5480,1138,,
2024,5,5/19/24,Alex Johnson,Amazon,R&D,14158,1139,,
2024,5,5/20/24,John Doe,Facebook,Hardware,10340,1140,,
2024,5,5/21/24,Alex Johnson,Apple,R&D,17446,1141,,
2024,5,5/22/24,John Doe,Apple,R&D,6402,1142,,
2024,5,5/23/24,Jane Smith,Amazon,Hardware,13278,1143,,
2024,5,5/24/24,John Doe,Google,R&D,8615,1144,,
2024,5,5/25/24,Jane Smith,Google,Software,19027,1145,,
2024,5,5/26/24,Samantha Ray,Facebook,R&D,16326,1146,,
2024,5,5/27/24,John Doe,Apple,Software,6220,1147,,
2024,5,5/28/24,Michael Brown,Microsoft,R&D,6489,1148,,
2024,5,5/29/24,Jane Smith,Facebook,R&D,12747,1149,,
2024,5,5/30/24,Jane Smith,Apple,Hardware,7374,1150,,
2024,5,5/31/24,Alex Johnson,Microsoft,Software,11977,1151,,
2024,6,6/1/24,Samantha Ray,Amazon,R&D,10371,1152,,
2024,6,6/2/24,Samantha Ray,Microsoft,Hardware,17456,1153,,
2024,6,6/3/24,Jane Smith,Google,Hardware,15139,1154,,
2024,6,6/4/24,Jane Smith,Microsoft,R&D,18382,1155,,
2024,6,6/5/24,Samantha Ray,Amazon,Hardware,12704,1156,,
2024,6,6/6/24,Alex Johnson,Google,R&D,5106,1157,,
2024,6,6/7/24,John Doe,Google,R&D,14248,1158,,
2024,6,6/8/24,John Doe,Facebook,Software,14110,1159,,
2024,6,6/9/24,Jane Smith,Amazon,R&D,11341,1160,,
2024,6,6/10/24,Jane Smith,Microsoft,R&D,11429,1161,,
2024,6,6/11/24,Michael Brown,Facebook,Hardware,16416,1162,,
2024,6,6/12/24,Alex Johnson,Facebook,Software,9481,1163,,
2024,6,6/13/24,Jane Smith,Facebook,R&D,13053,1164,,
2024,6,6/14/24,Jane Smith,Google,Software,16757,1165,,
2024,6,6/15/24,Jane Smith,Google,Software,5179,1166,,
2024,6,6/16/24,Jane Smith,Microsoft,Hardware,19932,1167,,
2024,6,6/17/24,Alex Johnson,Apple,Hardware,13534,1168,,
2024,6,6/18/24,Samantha Ray,Amazon,Software,12946,1169,,
2024,6,6/19/24,John Doe,Microsoft,R&D,15476,1170,,
2024,6,6/20/24,John Doe,Apple,R&D,15871,1171,,
2024,6,6/21/24,Alex Johnson,Google,Hardware,14462,1172,,
2024,6,6/22/24,Jane Smith,Apple,Software,9635,1173,,
2024,6,6/23/24,Jane Smith,Google,R&D,11916,1174,,
2024,6,6/24/24,Alex Johnson,Google,Software,13160,1175,,
2024,6,6/25/24,Jane Smith,Amazon,Software,14801,1176,,
2024,6,6/26/24,Samantha Ray,Google,Hardware,7114,1177,,
2024,6,6/27/24,Jane Smith,Google,Hardware,12017,1178,,
2024,6,6/28/24,Jane Smith,Microsoft,Software,5015,1179,,
2024,6,6/29/24,Alex Johnson,Apple,R&D,10401,1180,,
2024,6,6/30/24,John Doe,Apple,Software,17810,1181,,
2024,7,7/1/24,Samantha Ray,Google,Software,3419,1182,,
2024,7,7/1/24,Samantha Ray,Google,Hardware,4675,1183,,
2024,7,7/1/24,Jane Smith,Amazon,R&D,3146,1184,,
2024,7,7/1/24,John Doe,Google,Software,3497,1185,,
2024,7,7/2/24,Samantha Ray,Google,Hardware,3836,1186,,
2024,7,7/2/24,Samantha Ray,Microsoft,R&D,2794,1187,,
2024,7,7/2/24,Alex Johnson,Apple,Software,3655,1188,,
2024,7,7/3/24,Emily White,Apple,Hardware,4208,1189,,
2024,7,7/3/24,Jane Smith,Google,R&D,3069,1190,,
2024,7,7/3/24,John Doe,Google,Software,3655,1191,,
2024,7,7/4/24,Alex Johnson,Amazon,Hardware,3787,1192,,
2024,7,7/4/24,Emily White,Google,R&D,3655,1193,,
2024,7,7/4/24,Alex Johnson,Google,Software,3800,1194,,
2024,7,7/5/24,Emily White,Microsoft,Hardware,3726,1195,,
2024,7,7/5/24,Emily White,Apple,R&D,2960,1196,,
2024,7,7/5/24,Jane Smith,Apple,Software,3273,1197,,
2024,7,7/6/24,Emily White,Amazon,Hardware,5105,1198,,
2024,7,7/6/24,Alex Johnson,Facebook,R&D,3018,1199,,
2024,7,7/6/24,Emily White,Apple,Software,3608,1200,,
2024,7,7/7/24,Jane Smith,Apple,Hardware,3753,1201,,
2024,7,7/7/24,Jane Smith,Amazon,R&D,3040,1202,,
2024,7,7/7/24,Alex Johnson,Google,Software,3279,1203,,
2024,7,7/8/24,Samantha Ray,Google,Hardware,3787,1204,,
2024,7,7/8/24,Samantha Ray,Facebook,R&D,3014,1205,,
2024,7,7/8/24,Emily White,Apple,Software,4850,1206,,
2024,7,7/9/24,John Doe,Microsoft,Hardware,5051,1207,,
2024,7,7/9/24,Emily White,Facebook,R&D,2961,1208,,
2024,7,7/9/24,Alex Johnson,Apple,Software,3444,1209,,
2024,7,7/10/24,Alex Johnson,Microsoft,Hardware,3918,1210,,
2024,7,7/10/24,Alex Johnson,Amazon,R&D,2808,1211,,
2024,7,7/10/24,Alex Johnson,Facebook,Software,3931,1212,,
2024,7,7/11/24,Alex Johnson,Apple,Hardware,3724,1213,,
2024,7,7/11/24,Jane Smith,Apple,R&D,2763,1214,,
2024,7,7/11/24,Samantha Ray,Amazon,Software,3979,1215,,
2024,7,7/12/24,Alex Johnson,Google,Hardware,4805,1216,,
2024,7,7/12/24,John Doe,Apple,R&D,3219,1217,,
2024,7,7/12/24,John Doe,Apple,Software,3563,1218,,
2024,7,7/13/24,John Doe,Amazon,Hardware,3977,1219,,
2024,7,7/13/24,John Doe,Google,R&D,3619,1220,,
2024,7,7/13/24,Jane Smith,Microsoft,Software,3438,1221,,
2024,7,7/14/24,John Doe,Apple,Hardware,3932,1222,,
2024,7,7/14/24,Alex Johnson,Apple,R&D,3583,1223,,
2024,7,7/14/24,Emily White,Amazon,Software,3213,1224,,
2024,7,7/15/24,John Doe,Facebook,Hardware,4581,1225,,
2024,7,7/15/24,Jane Smith,Apple,R&D,3156,1226,,
2024,7,7/15/24,Jane Smith,Apple,Software,3652,1227,,
2024,7,7/16/24,John Doe,Amazon,Hardware,3758,1228,,
2024,7,7/16/24,Emily White,Google,R&D,2979,1229,,
2024,7,7/16/24,John Doe,Google,Software,3501,1230,,
2024,7,7/17/24,Jane Smith,Facebook,Hardware,4419,1231,,
2024,7,7/17/24,Samantha Ray,Apple,R&D,3686,1232,,
2024,7,7/17/24,Alex Johnson,Microsoft,Software,3667,1233,,
2024,7,7/18/24,Jane Smith,Facebook,Hardware,4401,1234,,
2024,7,7/18/24,John Doe,Apple,R&D,4232,1235,,
2024,7,7/18/24,Alex Johnson,Microsoft,Software,3667,1236,,
2024,7,7/19/24,John Doe,Amazon,Hardware,4686,1237,,
2024,7,7/19/24,John Doe,Facebook,R&D,3407,1238,,
2024,7,7/19/24,Samantha Ray,Apple,Software,3658,1239,,
2024,7,7/20/24,Alex Johnson,Apple,Hardware,3680,1240,,
2024,7,7/20/24,Alex Johnson,Apple,R&D,2893,1241,,
2024,7,7/20/24,Samantha Ray,Amazon,Software,3774,1242,,
2024,7,7/21/24,Jane Smith,Google,Hardware,2739,1243,,
2024,7,7/21/24,John Doe,Apple,R&D,3314,1244,,
2024,7,7/21/24,Emily White,Apple,Software,3360,1245,,
2024,7,7/22/24,John Doe,Amazon,Hardware,4746,1246,,
2024,7,7/22/24,John Doe,Google,R&D,4100,1247,,
2024,7,7/22/24,Jane Smith,Microsoft,Software,3306,1248,,
2024,7,7/23/24,John Doe,Apple,Hardware,4202,1249,,
2024,7,7/23/24,Samantha Ray,Apple,R&D,2914,1250,,
2024,7,7/23/24,Samantha Ray,Apple,Software,6258,1251,,
2024,7,7/24/24,Alex Johnson,Amazon,Hardware,4794,1252,,
2024,7,7/24/24,Emily White,Google,R&D,2821,1253,,
2024,7,7/24/24,John Doe,Apple,Software,9400,1254,,
2024,7,7/25/24,John Doe,Apple,Hardware,4142,1255,,
2024,7,7/25/24,Jane Smith,Amazon,R&D,3168,1256,,
2024,7,7/25/24,Samantha Ray,Google,Software,3771,1257,,
2024,7,7/26/24,Emily White,Microsoft,Hardware,4072,1258,,
2024,7,7/26/24,Alex Johnson,Apple,R&D,2800,1259,,
2024,7,7/26/24,Samantha Ray,Apple,Software,3355,1260,,
2024,7,7/27/24,Alex Johnson,Apple,Hardware,3773,1261,,
2024,7,7/27/24,Jane Smith,Amazon,R&D,3477,1262,,
2024,7,7/27/24,Jane Smith,Google,Software,3733,1263,,
2024,7,7/28/24,John Doe,Apple,Hardware,3814,1264,,
2024,7,7/28/24,Emily White,Apple,R&D,3590,1265,,
2024,7,7/28/24,Alex Johnson,Amazon,Software,3358,1266,,
2024,7,7/29/24,Samantha Ray,Google,Hardware,4166,1267,,
2024,7,7/29/24,Jane Smith,Microsoft,R&D,3246,1268,,
2024,7,7/29/24,John Doe,Apple,Software,3526,1269,,
2024,7,7/30/24,John Doe,Apple,Hardware,4915,1270,,
2024,7,7/30/24,Alex Johnson,Apple,R&D,2996,1271,,
2024,7,7/30/24,Jane Smith,Amazon,Software,3500,1272,,
2024,7,7/31/24,Emily White,Google,Hardware,4629,1273,,
2024,7,7/31/24,Jane Smith,Apple,R&D,3176,1274,,
2024,7,7/31/24,Alex Johnson,Apple,Software,3379,1275,,
2024,8,8/1/24,Samantha Ray,Google,R&D,5839,1276,,
2024,8,8/2/24,Jane Smith,Microsoft,Hardware,18835,1277,,
2024,8,8/3/24,Michael Brown,Apple,R&D,16529,1278,,
2024,8,8/4/24,Jane Smith,Amazon,Hardware,5393,1279,,
2024,8,8/5/24,Michael Brown,Apple,Hardware,16780,1280,,
2024,8,8/6/24,Michael Brown,Apple,R&D,16867,1281,,
2024,8,8/7/24,Michael Brown,Google,R&D,7332,1282,,
2024,8,8/8/24,Jane Smith,Amazon,Hardware,12459,1283,,
2024,8,8/9/24,John Doe,Google,R&D,8791,1284,,
2024,8,8/10/24,John Doe,Facebook,R&D,12607,1285,,
2024,8,8/11/24,Michael Brown,Amazon,R&D,17909,1286,,
2024,8,8/12/24,Samantha Ray,Facebook,R&D,8238,1287,,
2024,8,8/13/24,Jane Smith,Apple,Software,19115,1288,,
2024,8,8/14/24,Samantha Ray,Microsoft,Hardware,14249,1289,,
2024,8,8/15/24,Michael Brown,Microsoft,R&D,15092,1290,,
2024,8,8/16/24,John Doe,Amazon,Hardware,16888,1291,,
2024,8,8/17/24,John Doe,Google,R&D,12407,1292,,
2024,8,8/18/24,John Doe,Amazon,R&D,12420,1293,,
2024,8,8/19/24,Jane Smith,Google,R&D,17664,1294,,
2024,8,8/20/24,John Doe,Amazon,Hardware,8522,1295,,
2024,8,8/21/24,John Doe,Google,Hardware,12740,1296,,
2024,8,8/22/24,Jane Smith,Apple,Hardware,14217,1297,,
2024,8,8/23/24,Michael Brown,Facebook,R&D,12738,1298,,
2024,8,8/24/24,Jane Smith,Amazon,R&D,15811,1299,,
2024,8,8/25/24,Jane Smith,Google,Software,7511,1300,,
2024,8,8/26/24,Michael Brown,Amazon,Hardware,5154,1301,,
2024,8,8/27/24,Jane Smith,Microsoft,R&D,7755,1302,,
2024,8,8/28/24,John Doe,Google,Hardware,13010,1303,,
2024,8,8/29/24,John Doe,Google,Software,12046,1304,,
2024,8,8/30/24,Michael Brown,Microsoft,Software,17520,1305,,
2024,8,8/31/24,John Doe,Apple,Hardware,15935,1306,,
2024,9,9/1/24,Michael Brown,Facebook,Hardware,19676,1307,,
2024,9,9/2/24,Samantha Ray,Facebook,Software,6149,1308,,
2024,9,9/3/24,Alex Johnson,Microsoft,Hardware,14146,1309,,
2024,9,9/4/24,Michael Brown,Apple,Hardware,15594,1310,,
2024,9,9/5/24,Samantha Ray,Google,Hardware,5145,1311,,
2024,9,9/6/24,John Doe,Facebook,Software,8993,1312,,
2024,9,9/7/24,Jane Smith,Google,Software,14355,1313,,
2024,9,9/8/24,John Doe,Google,R&D,15087,1314,,
2024,9,9/9/24,Michael Brown,Apple,Software,16768,1315,,
2024,9,9/10/24,Samantha Ray,Apple,Software,7075,1316,,
2024,9,9/11/24,Alex Johnson,Microsoft,Hardware,10781,1317,,
2024,9,9/12/24,Jane Smith,Google,R&D,9498,1318,,
2024,9,9/13/24,Michael Brown,Google,Software,5404,1319,,
2024,9,9/14/24,Alex Johnson,Facebook,Hardware,12910,1320,,
2024,9,9/15/24,John Doe,Microsoft,R&D,16814,1321,,
2024,9,9/16/24,John Doe,Facebook,Hardware,13516,1322,,
2024,9,9/17/24,John Doe,Apple,R&D,17075,1323,,
2024,9,9/18/24,Alex Johnson,Amazon,Software,11326,1324,,
2024,9,9/19/24,Jane Smith,Facebook,Software,14684,1325,,
2024,9,9/20/24,Alex Johnson,Google,R&D,8667,1326,,
2024,9,9/21/24,Alex Johnson,Amazon,Software,6527,1327,,
2024,9,9/22/24,Alex Johnson,Google,R&D,6620,1328,,
2024,9,9/23/24,Jane Smith,Apple,Software,18349,1329,,
2024,9,9/24/24,Samantha Ray,Facebook,R&D,9159,1330,,
2024,9,9/25/24,Jane Smith,Microsoft,Hardware,8351,1331,,
2024,9,9/26/24,Samantha Ray,Apple,R&D,12760,1332,,
2024,9,9/27/24,Alex Johnson,Google,Software,5226,1333,,
2024,9,9/28/24,Samantha Ray,Apple,Hardware,14524,1334,,
2024,9,9/29/24,Jane Smith,Amazon,Software,11124,1335,,
2024,9,9/30/24,Jane Smith,Facebook,R&D,17753,1336,,
2024,10,10/1/24,Alex Johnson,Google,R&D,19293,1337,,
2024,10,10/2/24,Alex Johnson,Apple,Software,6021,1338,,
2024,10,10/3/24,John Doe,Microsoft,Hardware,8855,1339,,
2024,10,10/4/24,John Doe,Amazon,Software,9976,1340,,
2024,10,10/5/24,Michael Brown,Facebook,Software,12965,1341,,
2024,10,10/6/24,Alex Johnson,Google,Hardware,16795,1342,,
2024,10,10/7/24,Michael Brown,Microsoft,R&D,6338,1343,,
2024,10,10/8/24,Michael Brown,Facebook,Hardware,9937,1344,,
2024,10,10/9/24,Samantha Ray,Amazon,Hardware,5646,1345,,
2024,10,10/10/24,Jane Smith,Amazon,Software,16584,1346,,
2024,10,10/11/24,Samantha Ray,Microsoft,Software,16283,1347,,
2024,10,10/12/24,Michael Brown,Google,R&D,8806,1348,,
2024,10,10/13/24,John Doe,Facebook,Hardware,11877,1349,,
2024,10,10/14/24,John Doe,Apple,Hardware,11825,1350,,
2024,10,10/15/24,Jane Smith,Google,R&D,12339,1351,,
2024,10,10/16/24,Alex Johnson,Apple,R&D,14380,1352,,
2024,10,10/17/24,Jane Smith,Google,R&D,14940,1353,,
2024,10,10/18/24,John Doe,Google,Hardware,9729,1354,,
2024,10,10/19/24,Samantha Ray,Facebook,R&D,5496,1355,,
2024,10,10/20/24,Alex Johnson,Amazon,R&D,10654,1356,,
2024,10,10/21/24,Samantha Ray,Apple,Software,15490,1357,,
2024,10,10/22/24,Samantha Ray,Facebook,Software,19168,1358,,
2024,10,10/23/24,Samantha Ray,Apple,Hardware,14903,1359,,
2024,10,10/24/24,Alex Johnson,Microsoft,Software,14718,1360,,
2024,10,10/25/24,John Doe,Google,R&D,9791,1361,,
2024,10,10/26/24,Jane Smith,Amazon,Software,5267,1362,,
2024,10,10/27/24,Samantha Ray,Amazon,R&D,6923,1363,,
2024,10,10/28/24,Jane Smith,Amazon,Software,19383,1364,,
2024,10,10/29/24,Michael Brown,Apple,R&D,8871,1365,,
2024,10,10/30/24,Jane Smith,Microsoft,Software,8407,1366,,
2024,10,10/31/24,Alex Johnson,Microsoft,Hardware,8321,1367,,
2024,11,11/1/24,John Doe,Apple,Hardware,15630,1368,,
2024,11,11/2/24,Alex Johnson,Microsoft,R&D,6305,1369,,
2024,11,11/3/24,John Doe,Google,Software,18061,1370,,
2024,11,11/4/24,John Doe,Amazon,Software,13210,1371,,
2024,11,11/5/24,Samantha Ray,Microsoft,Software,16261,1372,,
2024,11,11/6/24,Michael Brown,Facebook,Hardware,19410,1373,,
2024,11,11/7/24,Jane Smith,Microsoft,Hardware,17166,1374,,
2024,11,11/8/24,Michael Brown,Facebook,R&D,10757,1375,,
2024,11,11/9/24,Samantha Ray,Amazon,R&D,11538,1376,,
2024,11,11/10/24,Alex Johnson,Facebook,R&D,12829,1377,,
2024,11,11/11/24,Michael Brown,Amazon,Software,17226,1378,,
2024,11,11/12/24,Michael Brown,Amazon,Hardware,8122,1379,,
2024,11,11/13/24,Samantha Ray,Apple,R&D,10813,1380,,
2024,11,11/14/24,Michael Brown,Facebook,Hardware,8490,1381,,
2024,11,11/15/24,Alex Johnson,Amazon,R&D,17799,1382,,
2024,11,11/16/24,Samantha Ray,Google,Hardware,8679,1383,,
2024,11,11/17/24,Alex Johnson,Facebook,Hardware,5174,1384,,
2024,11,11/18/24,Alex Johnson,Facebook,Hardware,5047,1385,,
2024,11,11/19/24,Michael Brown,Facebook,R&D,12547,1386,,
2024,11,11/20/24,Jane Smith,Google,Software,16636,1387,,
2024,11,11/21/24,Michael Brown,Facebook,Software,7869,1388,,
2024,11,11/22/24,Alex Johnson,Facebook,Hardware,7749,1389,,
2024,11,11/23/24,Jane Smith,Facebook,Hardware,19396,1390,,
2024,11,11/24/24,Samantha Ray,Apple,Software,12500,1391,,
2024,11,11/25/24,Samantha Ray,Amazon,Software,5949,1392,,
2024,11,11/26/24,John Doe,Amazon,Hardware,12025,1393,,
2024,11,11/27/24,Michael Brown,Google,Software,9912,1394,,
2024,11,11/28/24,John Doe,Google,R&D,14620,1395,,
2024,11,11/29/24,Samantha Ray,Google,R&D,6649,1396,,
2024,11,11/30/24,Alex Johnson,Amazon,Hardware,5443,1397,,
2024,12,12/1/24,Michael Brown,Amazon,Software,13582,1398,,
2024,12,12/2/24,Michael Brown,Google,Software,13409,1399,,
2024,12,12/3/24,Jane Smith,Apple,Hardware,10655,1400,,
2024,12,12/4/24,Samantha Ray,Microsoft,Hardware,19365,1401,,
2024,12,12/5/24,Jane Smith,Amazon,Software,15796,1402,,
2024,12,12/6/24,Samantha Ray,Amazon,R&D,9753,1403,,
2024,12,12/7/24,John Doe,Amazon,Hardware,7303,1404,,
